place_name,category_name,address_name,place_url,분류
백부장집닭한마리 본관,"음식점 > 한식 > 육류,고기 > 닭요리",서울 종로구 공평동 129,http://place.map.kakao.com/8381402,음식점
살롱순라,음식점 > 양식 > 이탈리안,서울 종로구 권농동 187-7,http://place.map.kakao.com/2025215095,음식점
광장시장통큰누이네육회빈대떡,음식점 > 한식,서울 종로구 종로5가 138-25,http://place.map.kakao.com/614661957,음식점
평양고깃집,"음식점 > 한식 > 육류,고기",서울 종로구 관훈동 198-32,http://place.map.kakao.com/971121714,음식점
샤오바오우육면 본점,음식점 > 중식 > 중국요리,서울 종로구 관철동 12-24,http://place.map.kakao.com/2053098478,음식점
계림 종로본점,"음식점 > 한식 > 육류,고기 > 닭요리",서울 종로구 종로3가 167,http://place.map.kakao.com/8758064,음식점
할매집,음식점 > 한식 > 감자탕,서울 종로구 내자동 108,http://place.map.kakao.com/8612493,음식점
혜화도담,음식점 > 한식,서울 종로구 명륜4가 48-2,http://place.map.kakao.com/497931179,음식점
만리성,음식점 > 중식 > 중국요리,서울 종로구 동숭동 1-88,http://place.map.kakao.com/7860491,음식점
양지식당,음식점 > 한식,서울 종로구 종로6가 205-1,http://place.map.kakao.com/2122475581,음식점
호반,음식점 > 한식,서울 종로구 낙원동 85-7,http://place.map.kakao.com/27269590,음식점
라면점빵,음식점 > 분식,서울 종로구 필운동 202,http://place.map.kakao.com/8931203,음식점
대성집,음식점 > 한식 > 국밥,서울 종로구 행촌동 209-35,http://place.map.kakao.com/24448306,음식점
이문설농탕,음식점 > 한식 > 설렁탕,서울 종로구 견지동 88,http://place.map.kakao.com/24725293,음식점
커피스트,음식점 > 카페 > 커피전문점,서울 종로구 신문로2가 1-335,http://place.map.kakao.com/8105618,카페
포비 광화문점,음식점 > 카페,서울 종로구 청진동 246,http://place.map.kakao.com/27187492,카페
남도식당,음식점 > 한식,서울 종로구 숭인동 228-4,http://place.map.kakao.com/1427378789,음식점
은성회집,"음식점 > 한식 > 해물,생선 > 회",서울 종로구 종로4가 165-2,http://place.map.kakao.com/11177923,음식점
찬양집,음식점 > 한식 > 국수,서울 종로구 돈의동 27,http://place.map.kakao.com/12990437,음식점
대련집,음식점 > 한식 > 국수 > 칼국수,서울 종로구 관수동 163,http://place.map.kakao.com/7818113,음식점
마이클바이해비치 종로,음식점 > 양식 > 이탈리안,서울 종로구 공평동 5-1,http://place.map.kakao.com/1791766556,음식점
대학로족발 대학로본점,"음식점 > 한식 > 육류,고기 > 족발,보쌈",서울 종로구 혜화동 143-2,http://place.map.kakao.com/17937644,음식점
빅파이브 종로점,"음식점 > 술집 > 호프,요리주점",서울 종로구 낙원동 210,http://place.map.kakao.com/1333932833,술집
뚝배기집,"음식점 > 한식 > 찌개,전골",서울 종로구 관철동 5-1,http://place.map.kakao.com/10374336,음식점
동묘집,"음식점 > 한식 > 해물,생선",서울 종로구 창신동 330-49,http://place.map.kakao.com/706318241,음식점
